45624800 non-equivalent solutions found, 6103515625 processed
field MOD 13 rank families (10 found):
53020001 111: 5; 112: 3; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 31979200
71020001 111: 7; 112: 1; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 542800
81010001 111: 8; 112: 1; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 80200
82000001 111: 8; 112: 2; 121: 0; 211: 0; 122: 0; 212: 0; 221: 0; 222: 1 - 63200
91000001 111: 9; 112: 1; 121: 0; 211: 0; 122: 0; 212: 0; 221: 0; 222: 1 - 9600
62020001 111: 6; 112: 2; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 7764800
63010001 111: 6; 112: 3; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 4108000
72010001 111: 7; 112: 2; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 1066400
90010001 111: 9; 112: 0; 121: 0; 211: 1; 122: 0; 212: 0; 221: 0; 222: 1 - 1400
80020001 111: 8; 112: 0; 121: 0; 211: 2; 122: 0; 212: 0; 221: 0; 222: 1 - 9200
